	Gujrati	English
3410	નવેમ્બર ૨૭	November 27
3411	નવેમ્બર ૨૮	November 28
3412	શેત્રુંજી નદી	Shetrunji River
3413	નવેમ્બર ૨૯	November 29
3414	નવેમ્બર ૩૦	November 30
3415	ડિસેમ્બર ૧	December 1
3416	ડિસેમ્બર ૨	December 2
3417	ડિસેમ્બર ૩	December 3
3418	ડિસેમ્બર	December
3419	લોબાન	Boswellia sacra
3420	પીપળો	Ficus religiosa
3422	ડિસેમ્બર ૪	December 4
3423	ખાખરો	Butea monosperma
3424	ડિસેમ્બર ૫	December 5
3425	ડિસેમ્બર ૬	December 6
3426	ડિસેમ્બર ૭	December 7
3427	ચંપો	Magnolia champaca
3428	જાન્યુઆરી ૨	January 2
3429	ડિસેમ્બર ૮	December 8
3430	આબવેલ 	Abvel
3431	આંત્રોલી 	Antroli
3432	કુકરમુંડા	Kukarmunda
3433	ઉત્તર પ્રદેશના જિલ્લાઓ	Districts of Uttar Pradesh
3434	આવળ 	Senna auriculata
3435	ચાર્લી ચૅપ્લિન	Charlie Chaplin
3436	મામૂટી	Mammootty
3437	રોહતાસ જિલ્લો	Rohtas district
3438	તેલનાર 	Telnar
3439	ડિસેમ્બર ૯	December 9
3440	ડિસેમ્બર ૧૦	December 10
3441	ડિસેમ્બર ૧૧	December 11
3442	ડિસેમ્બર ૧૨	December 12
3443	કેરળના જિલ્લાઓ	Districts of Kerala
3444	ભાગલપુર વિભાગ 	Bhagalpur division
3445	દરભંગા વિભાગ 	Darbhanga division
3446	કોસી વિભાગ 	Kosi division
3447	મગધ વિભાગ 	Magadh division
3448	મુંગેર વિભાગ 	Munger division
3449	પટણા વિભાગ 	Patna division
3450	પૂર્ણિયા વિભાગ 	Purnia division
3451	સારન વિભાગ 	Saran division
3452	તિરહુત વિભાગ 	Tirhut division
3453	ડિસેમ્બર ૧૩	December 13
3454	યુવરાજસિંઘ	Yuvraj Singh
3455	મહીસા 	Mahisa
3456	શિકારી પક્ષીઓ	Predators
3457	સફાઇ કામદાર પક્ષીઓ	Scavengers
3458	ડિસેમ્બર ૧૪	December 14
3459	ડિસેમ્બર ૧૫	December 15
3461	ફિઝિયોથેરાપી	Physical therapy
3462	સ્લમડોગ મિલિયોનેર	Slumdog Millionaire
3463	હૃતિક રોશન	Hrithik Roshan
3464	ડિસેમ્બર ૧૬	December 16
3465	ડિસેમ્બર ૧૭	December 17
3466	અનિદ્રા	Insomnia
3467	ઓપન શોર્ટેસ્ટ પાથ ફર્સ્ટ	Open Shortest Path First
3468	વસતી	Population
3469	વીલેન	Virtual LAN
3471	ડિસેમ્બર ૧૮	December 18
3472	સારસા 	Sarsa, Kheda
3473	કૃષિ	Agriculture
3474	ડેવિડ બેકહામ	David Beckham
3475	ડિસેમ્બર ૧૯	December 19
3477	મનોવિષ્લેષણ	Psychoanalysis
3478	ડિસેમ્બર ૨૦	December 20
3479	ડિસેમ્બર ૨૧	December 21
3480	સુરત જિલ્લાનાં રેલ્વે સ્ટેશનો	Railway stations in Surat district
3481	આઇપોડ	IPod
3482	ફિડલ કાસ્ટ્રો	Fidel Castro
3483	લામ્બોરગીની	Lamborghini
3484	ભારતના રાષ્ટ્રીય ઉદ્યાનો	National parks of India
3485	ભારતના રાષ્ટ્રીય ઉદ્યાનો	National parks of India
3486	રાષ્ટ્રીય ઉદ્યાનો	National parks
3487	અરિયાલુર જિલ્લો	Ariyalur district
3488	વેલ્લોર જિલ્લો	Vellore district
3489	તિરુવનામલઇ જિલ્લો	Tiruvannamalai district
3490	તિરુવરુર જિલ્લો	Tiruvarur district
3491	ડિસેમ્બર ૨૨	December 22
3492	અંતરનું વિશ્લેષણ	Analysis of variance
3493	વર્તમાન ઘટનાઓ	Current events
3494	થેની જિલ્લો	Theni district
3495	તિરુનેલવેલી જિલ્લો	Tirunelveli district
3496	થંજાવુર જિલ્લો	Thanjavur district
3497	તિરુવલ્લુર જિલ્લો	Tiruvallur district
3498	વિલુપ્પુરમ જિલ્લો	Viluppuram district
3499	કૃષ્ણાગિરિ જિલ્લો	Krishnagiri district
3500	વિરુધુનગર જિલ્લો	Virudhunagar district
3501	શિવગંગાઇ જિલ્લો	Sivaganga district
3502	તમિલનાડુના જિલ્લાઓ	Districts of Tamil Nadu
3503	ચકલાસી 	Chaklasi
3504	ડિસેમ્બર ૨૩	December 23
3505	ડિસેમ્બર ૨૪	December 24
3506	અરિયાલુર	Ariyalur
3507	શિવગંગાઇ	Sivaganga
3508	તિરુનેલવેલી	Tirunelveli
3509	થેની	Theni
3510	તિરુવલ્લુર	Tiruvallur
3511	વેલ્લોર	Vellore
3512	વિલુપ્પુરમ	Viluppuram
3513	કૃષ્ણાગિરિ	Krishnagiri
3514	ડિસેમ્બર ૨૫	December 25
3515	નરસંડા	Narsanda
3516	રાષ્ટ્રીય ધોરી માર્ગ નં. ૫૯	National Highway 59 
3517	ડિસેમ્બર ૨૬	December 26
3518	વડતાલ 	Vadtal
3519	વસો 	Vaso
3520	પરશુરામ કુંડ, લોહિત જિલ્લો	Parshuram Kund
3521	ક્રિકેટનું મેદાન	Cricket field
3522	ડિસેમ્બર ૨૭	December 27
3523	સલમાન ખાન	Salman Khan
3524	હલદરવાસ 	Haldarvas
3525	જીવવિજ્ઞાન	Biology
3526	ડિસેમ્બર ૨૮	December 28
3528	મહારાષ્ટ્રના જિલ્લાઓ	Maharashtra
3529	ભારતનાં રાજ્યો અને કેન્દ્રશાસિત પ્રદેશો	States and union territories of India
3530	સરસવણી 	Sarsavani
3531	પક્ષી	Bird
3532	ગુરુના ચંદ્રો	Moons of Jupiter
3533	ડિસેમ્બર ૩૦	December 30
3534	અનારા 	Anara, Kheda
3535	ડિસેમ્બર ૨૯	December 29
3536	ડિસેમ્બર ૩૧	December 31
3537	અક્ક્લકુવા તાલુકો	Akkalkuwa
3538	અકરાણી તાલુકો	Dhadgaon
3539	શિંદખેડા	Sindkheda
3540	સાક્રી 	Sakri
3541	શિરપુર	Shirpur
3542	તળોદા 	Talode
3543	શહાદા 	Shahada, Maharashtra
3544	જામ રણજી	Ranjitsinhji
3545	જાન્યુઆરી	January
3546	મણિપુરના જિલ્લાઓ	Manipur
3547	જાન્યુઆરી ૩	January 3
3548	જાન્યુઆરી ૪	January 4
3549	એનટીએફએસ	NTFS
3550	Windows Components	Microsoft Windows components
3551	અજોલ 	Ajol
3552	જાન્યુઆરી ૫	January 5
3553	વરસોડા 	Varsoda
3554	સમૌ 	Samau
3555	મહુડી	Mahudi
3556	કૌરવ	Kaurava
3557	જાન્યુઆરી ૬	January 6
3558	જાન્યુઆરી ૭	January 7
3559	કચરાનો પ્રબંધ	Waste management
3560	અજાણી ઊડતી વસ્તુ	Unidentified flying object
3561	ડિસ્લેક્સીયા	Dyslexia
3562	જાન્યુઆરી ૮	January 8
3563	ઉત્તરાખંડના જિલ્લાઓ	Uttarakhand
3564	શરણાઈ	Shehnai
3565	જાન્યુઆરી ૯	January 9
3566	સમાચાર	News
3567	પુનાદ્રા 	Punadra
3568	જાન્યુઆરી ૧૦	January 10
3569	સાણોદા 	Sanoda
3570	જાન્યુઆરી ૧૧	January 11
3571	વાઇમેક્સ 	WiMAX
3572	ઉત્કંઠેશ્વર	Utkanteshwar Mahadev
3573	અંબાપુર 	Ambapur, Gujarat
3574	નદીઓ	Rivers
3575	હિંડન નદી	Hindon River
3576	ઇસનપુર મોટા 	Isanpur mota
3577	શેરડી	Saccharum
3578	જાન્યુઆરી ૧૨	January 12
3579	જાન્યુઆરી ૧૩	January 13
3580	મોટેરા 	Motera
3581	દરિયાઈ રાષ્ટ્રીય ઉદ્યાન અને અભયારણ્ય	Marine National Park, Gulf of Kutch
3582	કેળ	Musa 
3583	હૈતી	Haiti
3584	વાંસદા રાષ્ટ્રીય ઉદ્યાન	Vansda National Park
3585	જાન્યુઆરી ૧૪	January 14
3587	રુપાલ 	Rupal, Gandhinagar
3588	સાદરા 	Sadra, Gandhinagar
3590	અંબાજી	Ambaji
3591	અધિક માસ	Adhik Maas
3592	વેળાવદર કાળિયાર રાષ્ટ્રીય ઉદ્યાન	Blackbuck National Park, Velavadar
3593	જાન્યુઆરી ૧૫	January 15
3594	જાન્યુઆરી ૧૬	January 16
3595	સુવર્ણ મંદિર, અમૃતસર	Golden Temple
3596	સોનીપુર 	Sonipur
3597	જાન્યુઆરી ૧૭	January 17
3598	રોક ગાર્ડન	Rock Garden of Chandigarh
3599	જાન્યુઆરી ૧૮	January 18
3600	પ્રાણી	Animal
3601	હવા મહેલ	Hawa Mahal
3602	જંતર મંતર	Jantar Mantar, Jaipur
3603	જાન્યુઆરી ૧૯	January 19
3604	પાળીયાદ 	Paliad
3605	અઠવાડિયાના વારનાં નામો	Days of the week
3607	મધ્ય પ્રદેશના જિલ્લાઓ	State of Madhya Pradesh
3608	ત્યાગરાજ	Tyagaraja
3609	અલીરાજપુર જિલ્લો	Alirajpur district
3610	સિંગરૌલી જિલ્લો	Singrauli district
3611	મધ્ય પ્રદેશના જિલ્લાઓ	Districts of Madhya Pradesh
3612	માહિતીચોકઠું મંદિર	Infobox Mandir
3613	ઈંડિયા ગેટ	India Gate
3614	જાન્યુઆરી ૨૦	January 20
3615	જાન્યુઆરી ૨૧	January 21
3616	જાન્યુઆરી ૨૨	January 22
3617	જાન્યુઆરી ૨૩	January 23
3618	લોટસ ટેમ્પલ, દિલ્હી	Lotus Temple
3619	સયાજી બાગ 	Sayaji Baug
3620	કીર્તિ મંદિર, વડોદરા	Kirti Mandir, Vadodara
3622	નજર બાગ મહેલ	Nazarbaug Palace
3623	વડોદરા શહેર	Vadodara
3624	વિશ્વામિત્રી નદી	Vishwamitri River
3625	જલ મહેલ	Jal Mahal
3626	જાન્યુઆરી ૨૫	January 25
3627	જાન્યુઆરી ૨૬	January 26
3628	ચેતેશ્વર પુજારા	Cheteshwar Pujara
3629	કોઠ 	Koth, Ahmedabad
3630	હરપાલ ઝાલા	Harpal Zala
3631	રવિન્દ્ર જાડેજા	Ravindra Jadeja
3632	અશોક કુરજીભાઇ પટેલ	Ashok Patel
3633	વટામણ	Vataman
3634	કરેણ	Nerium
3635	જાન્યુઆરી ૨૭	January 27
3636	જાન્યુઆરી ૨૮	January 28
3637	કાળી ચા	Black tea
3638	ઇએમઇ મંદિર	EME Temple
3639	આમેરનો કિલ્લો	Amer Fort
3640	જાન્યુઆરી ૨૯	January 29
3641	ઓરિસ્સા રાજ્યના જિલ્લાઓ	Odisha
3642	મહારાજા ફતેહસિંહ મ્યુજીયમ	Maharaja Fateh Singh Museum
3643	ચાંદ વાવડી	Chand Baori
3644	સીટી પેલેસ, જયપુર	City Palace, Jaipur
3645	જયગઢનો કિલ્લો	Jaigarh Fort
3646	રામ નિવાસ ઉદ્યાન	Ram Niwas Garden
3647	જયપુરના પ્રવાસી આકર્ષણો	Tourist attractions in Jaipur
3648	ગોવિંદજી મંદિર, જયપુર	Govind Dev Ji Temple
3649	શનિદેવ, શિંગણાપુર	Shani Shingnapur
3650	જાન્યુઆરી ૩૧	January 31
3651	કુંભ મેળો	Kumbh Mela
3652	ફેબ્રુઆરી ૧	February 1
3653	ફેબ્રુઆરી	February
3654	વેજળકા	Vejalka
3655	ફેબ્રુઆરી ૨	February 2
3656	ફેબ્રુઆરી ૩	February 3
3657	ભડીયાદ 	Bhadiad
3658	ભલગામડા 	Bhalgamda
3659	તુલસી	Ocimum tenuiflorum
3660	કૃષ્ણ	Krishna
3661	સમાજશાસ્ત્ર	Sociology
3662	ઉમેદ ભવન મહેલ	Umaid Bhawan Palace
3663	મેહરાનગઢ કિલ્લો	Mehrangarh
3664	જોધપુરના પ્રવાસી આકર્ષણો	Tourist attractions in Jodhpur
3665	કાયલાના સરોવર	Kaylana Lake
3666	જસવંત થડા	Jaswant Thada
3667	બલસમંદ તળાવ	Balsamand Lake
3668	મહા નદી	Mahanadi
3669	ઇજિપ્ત	Egypt
3670	અક્ષય કુમાર	Akshay Kumar
3671	વિશ્વ વેપાર સંગઠન	World Trade Organization
3672	રક્તના પ્રકાર	Blood type
3673	ફેદરા 	Fedara
3674	છત્તીસગઢ રાજ્યના જિલ્લાઓ	Districts of Chhattisgarh
3675	યવતમાળ જિલ્લો	Yavatmal district
3676	ચંદ્રપૂર જિલ્લો	Chandrapur district
3677	જળબંધો	Dams
3678	સિક્કિમ	Sikkim
3679	ભારતીય સમય	Time in India
3680	વર્ધા જિલ્લો	Wardha district
3681	મેઘાલય	Meghalaya
3682	પર્યાવરણ	Natural environment
3683	ભાવનગર	Bhavnagar
3685	ફેબ્રુઆરી ૪	February 4
3686	શૈલપુત્રી	Shailaputri
3687	કુદરતી આફતો	Natural disaster
3688	વેલેન્ટાઇન્સ ડે	Valentine's Day
3689	રાજસ્થાનના કિલ્લાઓ	Forts in Rajasthan
3690	જયપુર	Jaipur
3691	મુખ્ય મંત્રી	Chief minister
3692	જમ્મુ અને કાશ્મીરનાં જિલ્લાઓ	Districts of Jammu and Kashmir
3693	ઇન્વેસ્ટમેન્ટ બેન્કિંગ	Investment banking
3694	ચક દે ઇન્ડિયા	Chak De! India
3695	સાનિયા મિર્ઝા	Sania Mirza
3696	વોરન બફેટ	Warren Buffett
3697	ફેબ્રુઆરી ૫	February 5
3698	જીવિત લોકો	Living people
3699	કવિ	Poets
3700	અભિનેત્રી	Actresses
3701	શીખ ધર્મ	Sikhism
3702	સ્વાતંત્ર્ય સેનાની	Independence activists
3703	ફેબ્રુઆરી ૬	February 6
3704	લક્ષ્મી નિવાસ મહેલ	Laxmi Niwas Palace
3705	લાલગઢ મહેલ	Lalgarh Palace
3706	બંટાઇ 	Bantai
3707	ફેબ્રુઆરી ૭	February 7
3708	મૂઠિયાં	Muthia
3709	ફેબ્રુઆરી ૮	February 8
3710	જામા મસ્જિદ, અમદાવાદ	Jama Mosque, Ahmedabad
3711	રાજસ્થાનના મહેલો	Palaces in Rajasthan
3712	બિકાનેરના પ્રવાસી આકર્ષણો	Tourist attractions in Bikaner
3713	બિકાનેર	Bikaner
3714	ક્રિકેટ વિશ્વ કપ ૨૦૦૭	2007 Cricket World Cup
3715	ઊંધિયું	Undhiyu
3716	ફેબ્રુઆરી ૯	February 9
3717	નકશો	Map
3719	સ્વતંત્રતા દિવસ 	Independence Day 
3720	ભારતનો સ્વાતંત્ર્ય સંગ્રામ	Indian Independence Movement
3721	બટેટાવડાં	Batata vada
3722	વડાપાવ	Vada pav
3724	ગર્ગ સંહિતા	Garga Samhita
3725	પુરાણ	Puranas
3726	સંસ્કૃત સાહિત્ય	Sanskrit literature
3727	વૈદિક સાહિત્ય	Vedic hymns
3728	પુરાણો	Puranas
3729	માહિતીચોકઠું તૈયાર ખોરાક	Infobox food
3730	ગુજરાત સમાચાર	Gujarat Samachar
3731	સંદેશ 	Sandesh 
3732	દિવેલ	Castor oil
3733	દિવેલી	Ricinus
3734	ખંડેરાવ માર્કેટ	Khanderao Market
3735	ફેબ્રુઆરી ૧૦	February 10
3736	ફેબ્રુઆરી ૧૧	February 11
3737	ફેબ્રુઆરી ૧૨	February 12
3738	ફેબ્રુઆરી ૧૩	February 13
3739	ફેબ્રુઆરી ૧૪	February 14
3740	બકરાણા 	Bakrana
3741	છારોડી 	Charodi, Gujarat
3742	કન્યાકુમારી	Kanyakumari
3743	ફેબ્રુઆરી ૧૫	February 15
3744	ફેબ્રુઆરી ૧૬	February 16
3745	જિરાફ	Northern giraffe
3746	ઝકાત	Zakat
3747	કુત્બુદ્દીન મુહમ્મદ ખાનનો મકબરો	Hazira Maqbara
3748	મરાઠી વાનગીઓ	Maharashtrian cuisine
3749	ગુજરાતી વિશ્વકોશ	Gujarati Vishwakosh
3750	હાંડવો	Handvo
3751	ચે ગૂવેરા	Che Guevara
3752	રૂપેણ નદી	Rupen River
3753	પકોડી	Pakora
3754	હિંદુ સંસ્કૃતિ	Hindu culture
3755	દક્ષિણ અમેરીકા	South America
3756	ભારતીય હિન્દુઓ	Indian Hindus
3757	ચલચિત્ર	Films
3758	મેદુવડાં	Medu vada
3759	ક્રિકેટ	Cricket
3760	ચંદેરીનો કિલ્લો, ગુના	Chanderi fort
3761	પલ્‍પ ફિક્શન 	Pulp Fiction
3762	અમદાવાદનાં જોવાલાયક સ્થળો	Tourist attractions in Ahmedabad
3763	જે. બી. વોટસન	John B. Watson
3764	ઢોકળાં	Dhokla
3765	ફેબ્રુઆરી ૧૭	February 17
3766	ફેબ્રુઆરી ૧૮	February 18
3767	ફેબ્રુઆરી ૧૯	February 19
3768	ફેબ્રુઆરી ૨૦	February 20
3769	આર્વી 	Arvi, Wardha
3770	આષ્ટી 	Ashti, Wardha
3771	સેલુ 	Seloo
3772	હિંગણઘાટ 	Hinganghat
3773	સમુદ્રપુર 	Samudrapur
3774	સેવપુરી	Sev puri
3775	સંપ્રદાય	Sampradaya
3776	વંદો	Blattodea
3777	ફેબ્રુઆરી ૨૧	February 21
3778	ફેબ્રુઆરી ૨૨	February 22
3779	ચક્રવાત	Cyclone
3780	એ. આર. રહેમાન	A. R. Rahman
3781	જ્ઞાનકોશ	Encyclopedia
3782	નોકિયા	Nokia
3783	આવર્ત નિયમ	Periodic trends
3785	ભારતનાં લોકનૃત્યો	Indian folk dances
3786	લોથલ	Lothal
3787	બારેજા 	Bareja 
3788	અસોસિએશન ફુટબોલ	Association football
3789	બેંક	Bank
3790	ફેબ્રુઆરી ૨૩	February 23
3791	ફેબ્રુઆરી ૨૪	February 24
3792	આતંકવાદ	Terrorism
3793	નાયબ વડાપ્રધાન	Deputy Prime Minister of India
3794	વડાપ્રધાન	Prime minister
3795	ગોતા 	Gota, Gujarat
3796	લાંભા 	Lambha
3797	વિકિટ્રાવેલ	Wikitravel
3798	ફેબ્રુઆરી ૨૬	February 26
3799	ફેબ્રુઆરી ૨૭	February 27
3800	ફેબ્રુઆરી ૨૮	February 28
3801	લીલાપુર 	Lilapur, Ahmadabad
3802	શોર્ટ સેલ	Short 
3803	માર્ચ ૧	March 1
3804	માર્ચ ૨	March 2
3805	રામોલ 	Ramol
3806	રાણીપ	Ranip
3807	સરખેજ ઓકાફ	Sarkhej-Okaf
3808	થલતેજ	Thaltej
3809	સક્કરબાગ પ્રાણીસંગ્રહાલય	Sakkarbaug Zoological Garden
3810	ખેતર	Field 
3811	વાડી	Farm
3812	વીસલપુર 	Visalpur
3813	વેજલપુર 	Vejalpur
3814	સીડની	Sydney
3815	શાકભાજી	Vegetable
3816	સાપ	Snake
3817	માર્ચ ૩	March 3
3818	માર્ચ ૪	March 4
3820	ફેબ્રુઆરી ૨૯	February 29
3821	મોરારજી દેસાઈ	Morarji Desai
3822	માર્ચ ૫	March 5
3823	ઈંધણ 	Fuel
3824	પ્રવાહી	Liquid
3825	ઘન	Solid
3826	કાલી નદી 	Sharda River
3827	દહીં	Yogurt
3828	ભારતમાં સૌપ્રથમ	List of firsts in India
3829	ફળ	Fruit
3830	બૌદ્ધ ધર્મ	Buddhism
3831	પ્રાણીઓ	Animals
3832	યોગ	Yoga
3833	દિલ્હી	Delhi
3834	ચીન	China
3835	આયુર્વેદ	Ayurveda
3836	ખેતી	Agriculture
3837	કોમ્પ્યુટર	Computers
3840	સ્તોત્ર	Stotra
3841	જૈન ધર્મ	Jainism
3842	સુર સાગર	Sursagar Lake
3843	લસણની ચટણી	Garlic chutney
3844	ઢોસા	Dosa
3845	તખતગઢ 	Takhatgadh Kampa
3846	ચાડિયો	Scarecrow
3847	ખેરવા	Kherva
3848	સાલડી	Saldi
3849	સાંગણપુર	Sanganpur
3850	લાંધણજ	Langhnaj
3851	ઉચરપી	Ucharpi
3852	મનમોહન સિંહ	Manmohan Singh
3853	અંકાલા 	Ankala
3854	ઐઠોર	Aithor
3855	મકતુપુર 	Maktupur
3856	બ્રાહ્મણવાડા 	Brahmanwada, Unjha
3857	ટુન્ડાવ	Tundav
3858	માર્ચ ૬	March 6
3859	માર્ચ ૭	March 7
3860	માર્ચ ૯	March 9
3861	બટાકાં	Potato
3862	ડાંગર	Paddy field
3863	શક્કરીયાં	Sweet potato
3864	જ્યોતિષવિદ્યા	Astrology
3865	જીરું	Cumin
3866	બળદ ગાડું	Bullock cart
3867	બહુચર માતા	Bahuchara Mata
3868	લગ્ન	Marriage
3869	કડીયાદરા 	Kadiadara
3870	સંકેતલિપિ	Cryptography
3871	રાહુલ બોસ	Rahul Bose
3872	ઘી	Ghee
3873	હનુમાન મંદિર, સાળંગપુર	Hanuman temple, Salangpur
3874	કેટ હડસન	Kate Hudson
3875	કાવા 	Kava, Idar
3876	પેરિસ	Paris
3877	ડોલર	Dollar
3878	રૂપિયો	Rupee
3879	નાળિયેરની ચટણી	Coconut chutney
3880	શેરપુર 	Sherpur, Sabarkantha
3881	ચટણી	Condiments
3882	અરાલમ વન્ય જીવ અભયારણ્ય	Aralam Wildlife Sanctuary
3883	બલ્ગેરિયા	Bulgaria
3884	ચાટ મસાલો	Chaat masala
3885	થુમ્બા	Thumba
3886	લિપીડ પ્રોફાઇલ	Lipid profile
3887	સાઠંબા	Sathamba
3888	રમાસ 	Ramas
3889	પ્રાંતવેલ	Prantvel
3890	માર્ચ ૧૦	March 10
3891	માર્ચ ૧૧	March 11
3892	માર્ચ ૧૩	March 13
3893	માર્ચ ૧૪	March 14
3894	માર્ચ ૧૫	March 15
3895	માર્ચ ૧૬	March 16
3896	માર્ચ ૧૭	March 17
3897	માર્ચ ૧૮	March 18
3898	હરસોલ 	Harsol
3899	ઓઝોન અવક્ષય	Ozone depletion
3900	કપાસ	Cotton
3901	રોકડીયો પાક	Cash crop
3902	હ્યુજ જેકમેન	Hugh Jackman
3903	સ્વાઈન ફ્લૂ	2009 flu pandemic
3904	ટાટા નેનો	Tata Nano
3905	વોડકા	Vodka
3906	ઇલીયારાજા	Ilaiyaraaja
3907	પ્રીટિ ઝિન્ટા	Preity Zinta
3908	ઈશ્વર	God
3909	તજ	Cinnamon
3910	ફેશન	Fashion
3911	ધૂમ્રપાન	Tobacco smoking
3912	કર્કરોગ 	Cancer
3913	લેસર	Laser
3914	ક્ષય રોગ	Tuberculosis
3915	હેલ બેરી	Halle Berry
3916	હેઇદી ક્લુમ	Heidi Klum
3917	પ્રાચીન ઇજિપ્ત	Ancient Egypt
3918	સેકન્ડ	Second
3919	માયાવતી	Mayawati
3920	પુંસરી 	Punsari
3921	રણાસણ 	Ranasan Town
3922	જેટ વિમાન	Jet aircraft
3924	અકારુંદ 	Akrund
3925	ઍરોસ્મિથ	Aerosmith
3926	અરનાથ	Aranatha
3927	તીર્થંકર	Tirthankaras
3928	અરિહંત	Arihant 
3929	આચાર્ય	Acharya
3930	સાધુ	Sadhu
3932	મહાકાળેશ્વર જ્યોતિર્લિંગ	Mahakaleshwar Jyotirlinga
3933	ભારતના વડાપ્રધાન	Prime Ministers of India
3934	જ્યોતિર્લિંગ	Jyotirlingas
3935	કર્મ	Karma in Jainism
3936	અજિતનાથ	Ajitanatha
3937	સંભવનાથ	Sambhavanatha
3938	વસ્ત્રાપુર તળાવ	Vastrapur Lake
3939	મોટરગાડી	Car
3940	સેલિન ડીયોન	Celine Dion
3941	કેથરિન ઝેટા-જોન્સ	Catherine Zeta-Jones
3942	એના નિકોલ સ્મિથ	Anna Nicole Smith
3943	દેરોલ 	Vaghela Derol
3944	ચેતક અશ્વ	Chetak
3945	ચૂલો	Kitchen stove
3946	મહારાણા પ્રતાપ	Maharana Pratap
3947	સામાયિક 	Jain meditation
3948	ભેળપૂરી	Bhelpuri
3949	ઉપ પુરાણ	Upapurana
3950	નરસિંહ	Narasimha
3951	પાવભાજી	Pav bhaji
3952	હરિલાલ ઉપાધ્યાય	Harilal Upadhyay
3953	પોશીના 	Poshina
3954	માર્કની લખેલી સુવાર્તા	Gospel of Mark
3955	મનોરંજન	Entertainment
3956	લેખક	Writers
3957	યતી 	Yeti
3958	નુહ	Noah in Islam
3959	પ્રસાદ	Prasāda
3960	વિષ્ણુ	Vishnu
3961	વૈશ્વિક ઉષ્ણતાની અસરો	Effects of global warming
3962	નાતાલ	Christmas
3963	રચેલ વેઇઝ	Rachel Weisz
3964	એ.સી. ભક્તિવેદાંત સ્વામી પ્રભુપાદ	A. C. Bhaktivedanta Swami Prabhupada
3965	બ્લેકબેરી	BlackBerry
3966	રોબર્ટ પેટિસન	Robert Pattinson
3967	સુસાન બોયલ	Susan Boyle
3968	ભારતીય ભૂમિસેના	Indian Army
3969	રમત-ગમત	Sport
3970	ભક્તિવેદાંત બુક ટ્રસ્ટ	Bhaktivedanta Book Trust
3971	મગોડી 	Magodi
3972	મોતીલાલ નહેરૂ	Motilal Nehru
3973	દાંડી સત્યાગ્રહ	Salt March
3974	ઇસ્કોન	International Society for Krishna Consciousness
3975	અનિલ અંબાણી	Anil Ambani
3976	લઘુ ધિરાણ	Microfinance
3977	દાનીયેલ	Daniel 
3978	બોલી	Dialect
3979	ગામીત બોલી	Gamit language
3980	બ્રાન્ડી	Brandy
3981	નિત્યાનંદ પ્રભુ	Nitai
3982	રગડા પેટીસ	Ragda pattice
3983	બામણા 	Bamna
3984	ભાગળ	Bhagal
3985	સુરત શહેર	Surat
3986	આલ્ક્લાઇન પાર્થિવ ધાતુ	Alkaline earth metal
3987	ખીચીયું	Khichu
3988	ગોલ્ડમૅન સૅશ	Goldman Sachs
3989	શામળાજી	Shamlaji
3990	પરમાણુ ક્રમાંક	Atomic number
3991	દિવ્ય ભાસ્કર	Divya Bhaskar
3992	સંદેશ	Sandesh
3993	કઢી	Kadhi
3994	દૂધપાક	Doodhpak
3995	ખારવા	Kharwa caste
3997	લીંભોઈ	Limbhoi
3998	રૂપાયતન આશ્રમશાળા	Rupayatan
3999	કફોત્પાદક ગ્રંથિ	Pituitary gland
4000	શૈક્ષણિક સંસ્થાઓ	Educational institutions
4001	ખીચડી	Khichdi
4002	વિક્રમાદિત્ય	Vikramaditya
4003	વાવ	Stepwell
4004	છાશ	Buttermilk
4005	બેગુની	Beguni
4006	થેપલા	Dhebra
4008	સ્નૂકર	Snooker
4009	મરાઠી ભાષા	Marathi language
4010	નવરાત્રી	Navaratri
4011	સુભાષ કાક	Subhash Kak
4012	કુ ક્લક્સ ક્લાન	Ku Klux Klan
4013	ગોપીપુરા	Gopipura
4014	ઉપમા	Upma
4015	પૃથ્વીરાજ ચૌહાણ	Prithviraj Chauhan
4016	પોંગલ	Pongal 
4017	બીસી બેલા ભાત	Bisi Bele Bath
4018	બીએસઈ સેન્સેક્સ	BSE SENSEX
4019	ડૉ. જીવરાજ મહેતા	Jivraj Narayan Mehta
4020	માઇલી સાઇરસ	Miley Cyrus
4021	ગુજરાતના મુખ્યમંત્રી	Chief Ministers of Gujarat
4022	બોલુન્દ્રા 	Bolundra
4023	વિદ્યુત વિચ્છેદન-વિશ્લેષણ 	Electrolysis
4024	યુસુફ મેહરઅલી	Yusuf Meherally
4025	પુર્ણા નદી	Purna River 
4026	ચેવડો	Bombay mix
4027	રાધા	Radha
4028	રાધાનાથ સ્વામી	Radhanath Swami
4029	ગોપાલ કૃષ્ણ ગોસ્વામી	Gopal Krishna Goswami
4030	લોકનાથ સ્વામી મહારાજ	Lokanatha Swami
4031	ગૌડીય વૈષ્ણવ સંપ્રદાય	Gaudiya Vaishnavism
4032	બ્લેક સબાથ	Black Sabbath
4033	જપમાળા	Japamala
4034	ચક્ર	Chakra
4035	હોકાયંત્ર	Compass
4036	ભારતના ચારધામ	Char Dham
4037	થાળી	Thali
4038	જૈન તીર્થ	Jain temples and tirthas
4039	સરડોઈ 	Sardoi
4040	શુભા મુદ્ગલ	Shubha Mudgal
4041	1986 જન્મો	1986 births
4042	સંન્યાસ	Sannyasa
4043	બદ્રીનાથ	Badrinath
4044	વિદેશ નીતિ	Foreign policy
